time,gFx,gFy,gFz,TgF
10.941631,-0.2901,0.6024,0.1710,0.69
10.957862,-0.2349,0.6042,0.1319,0.66
10.978799,-0.2058,0.5518,0.1270,0.60
10.996239,-0.2163,0.5570,0.1185,0.61
11.008253,-0.2539,0.5963,0.1400,0.66
11.040889,-0.2724,0.6023,0.1429,0.68
11.058450,-0.2733,0.5348,0.1882,0.63
11.075229,-0.2615,0.4893,0.1803,0.58
11.094553,-0.2537,0.5101,0.2013,0.60
11.108486,-0.2632,0.5623,0.2048,0.65
11.142349,-0.2955,0.6511,0.1747,0.74
11.159215,-0.3062,0.6447,0.1706,0.73
11.175271,-0.3006,0.6110,0.1980,0.71
11.196110,-0.2817,0.5553,0.2277,0.66
11.225357,-0.2913,0.5513,0.2006,0.66
11.241990,-0.2779,0.5420,0.2055,0.64
11.259006,-0.2691,0.5287,0.2057,0.63
11.275624,-0.2652,0.5194,0.1901,0.61
11.296415,-0.2507,0.5162,0.1637,0.60
