time,gFx,gFy,gFz,TgF
10.388786,-0.0212,0.6821,0.2942,0.74
10.425861,-0.0821,0.6305,0.2018,0.67
10.433527,-0.1107,0.6026,0.2004,0.64
10.451103,-0.1610,0.5215,0.1987,0.58
10.467722,-0.1994,0.5169,0.2138,0.59
10.488520,-0.2153,0.4910,0.2231,0.58
10.524174,-0.1782,0.4986,0.3379,0.63
10.533128,-0.1703,0.4854,0.3534,0.62
10.552783,-0.1713,0.4871,0.3604,0.63
10.588472,-0.1687,0.4670,0.3218,0.59
10.625089,-0.1268,0.4546,0.3802,0.61
10.625964,-0.1268,0.4546,0.3802,0.61
10.633952,-0.1381,0.4563,0.3993,0.62
10.651847,-0.1669,0.4434,0.4182,0.63
10.689946,-0.2260,0.4397,0.4291,0.65
10.722809,-0.2456,0.4353,0.4646,0.68
10.723572,-0.2456,0.4353,0.4646,0.68
10.734701,-0.2571,0.4250,0.4939,0.70
10.768019,-0.2615,0.3745,0.5161,0.69
10.789358,-0.2664,0.3825,0.5279,0.70
10.833020,-0.2769,0.5320,0.5799,0.83
10.834112,-0.2769,0.5320,0.5799,0.83
10.837927,-0.2896,0.5389,0.5858,0.85
10.871111,-0.3423,0.5988,0.5547,0.89
10.888816,-0.3262,0.6093,0.5592,0.89
10.928551,-0.2114,0.6489,0.6711,0.96
10.929137,-0.2114,0.6489,0.6711,0.96
10.951414,-0.1713,0.5951,0.7375,0.96
10.969198,-0.1132,0.6645,0.6408,0.93
10.989316,-0.3089,0.8635,0.5019,1.05
11.026189,-0.4038,0.9106,0.2822,1.04
11.026867,-0.4038,0.9106,0.2822,1.04
11.051426,-0.3698,0.6026,0.3013,0.77
11.069280,-0.2745,0.5259,0.3020,0.67
11.090445,-0.2517,0.5323,0.2121,0.63
11.130364,-0.3404,0.5526,0.0306,0.65
11.131274,-0.3404,0.5526,0.0306,0.65
11.151650,-0.3470,0.4390,0.1088,0.57
11.169311,-0.2945,0.4138,0.2131,0.55
11.190684,-0.2789,0.4702,0.2849,0.62
11.238895,-0.3218,0.5695,0.2752,0.71
11.239503,-0.3218,0.5695,0.2752,0.71
11.252139,-0.3311,0.5814,0.2521,0.72
11.269917,-0.3414,0.4905,0.2228,0.64
11.304590,-0.3658,0.5438,0.1931,0.68
11.322352,-0.3187,0.4609,0.1869,0.59
11.335450,-0.3197,0.4455,0.2167,0.59
11.367487,-0.2757,0.4842,0.2404,0.61
11.384030,-0.2473,0.5113,0.2695,0.63
11.407390,-0.2395,0.5521,0.3001,0.67
11.420239,-0.2395,0.5595,0.3108,0.68
11.451374,-0.2826,0.5485,0.2470,0.66
11.469310,-0.3106,0.5639,0.2344,0.69
11.484934,-0.3323,0.5616,0.2378,0.69
